iteration;totalMonetaryCost;totalPathCost;totalTimeCost;totalWeatherExtraTime;totalWeatherSafetyRiskKm;totalWeatherCost;totalShopCost;totalDepotCost;totalResourceCost;totalIncome;forgottenTaskCost;weight;time;unassigned_tasks;total_tasks;destroy;repair
6;20870.627;515.583;3561.608;67.915;229.643;1995.436;4135.2;0.0;14798.0;32756.906;6058.236;-5828.043;21.948;19;128;[1.3, 1.732, 1.0, 1.2, 1.0];[1.0, 1.18, 2.01]
7;20870.627;515.583;3561.608;67.915;229.643;1995.436;4135.2;0.0;14798.0;32756.906;6058.236;-5828.043;48.145;19;128;[1.3, 1.732, 1.0, 1.38, 1.0];[1.2, 1.18, 2.01]
8;20870.627;515.583;3561.608;67.915;229.643;1995.436;4135.2;0.0;14798.0;32756.906;6058.236;-5828.043;10.065;19;128;[1.3, 1.859, 1.0, 1.38, 1.0];[1.2, 1.18, 2.109]
9;20870.627;515.583;3561.608;67.915;229.643;1995.436;4135.2;0.0;14798.0;32756.906;6058.236;-5828.043;281.686;19;128;[1.3, 1.859, 1.0, 1.38, 1.0];[1.2, 1.162, 2.109]
10;20870.627;515.583;3561.608;67.915;229.643;1995.436;4135.2;0.0;14798.0;32756.906;6058.236;-5828.043;11.878;19;128;[1.27, 1.859, 1.0, 1.38, 1.0];[1.2, 1.162, 1.998]
11;20840.874;527.95;3602.834;60.86;229.737;1812.089;3657.6;0.0;14898.0;32756.906;6058.236;-5857.796;5.979;19;128;[1.27, 1.859, 1.0, 1.642, 1.0];[1.2, 1.162, 2.198]
12;20840.874;527.95;3602.834;60.86;229.737;1812.089;3657.6;0.0;14898.0;32756.906;6058.236;-5857.796;23.583;19;128;[1.243, 1.859, 1.0, 1.642, 1.0];[1.2, 1.162, 2.078]
13;20840.874;527.95;3602.834;60.86;229.737;1812.089;3657.6;0.0;14898.0;32756.906;6058.236;-5857.796;11.317;19;128;[1.243, 1.859, 1.0, 1.578, 1.0];[1.2, 1.162, 1.97]
14;20840.874;527.95;3602.834;60.86;229.737;1812.089;3657.6;0.0;14898.0;32756.906;6058.236;-5857.796;60.52;19;128;[1.243, 1.773, 1.0, 1.578, 1.0];[1.18, 1.162, 1.97]
15;21486.521;533.473;3633.911;73.078;243.113;2143.137;3993.6;0.0;15176.0;33147.002;5668.14;-5992.341;13.404;18;128;[1.519, 1.773, 1.0, 1.578, 1.0];[1.18, 1.162, 2.173]
16;21443.892;534.423;3637.076;71.37;240.776;2096.393;3993.6;0.0;15176.0;33147.002;5668.14;-6034.97;7.447;18;128;[1.519, 1.996, 1.0, 1.578, 1.0];[1.18, 1.162, 2.356]
17;21382.109;530.233;3623.11;69.8;237.956;2052.766;3993.6;0.0;15176.0;33147.002;5668.14;-6096.753;5.316;18;128;[1.519, 2.196, 1.0, 1.578, 1.0];[1.18, 1.162, 2.52]
18;21144.438;537.848;3648.494;62.445;238.517;1862.095;3588.0;0.0;15096.0;33147.002;5668.14;-6334.424;15.282;18;128;[1.519, 2.196, 1.0, 1.82, 1.0];[1.18, 1.162, 2.668]
19;21126.067;534.15;3636.166;58.651;236.819;1761.752;3660.0;0.0;15194.0;33147.002;5668.14;-6352.795;10.261;18;128;[1.519, 2.196, 1.0, 2.038, 1.0];[1.18, 1.162, 2.801]
20;21098.386;530.172;3622.907;58.438;231.913;1751.308;3660.0;0.0;15194.0;33147.002;5668.14;-6380.476;4.263;18;128;[1.519, 2.376, 1.0, 2.038, 1.0];[1.18, 1.162, 2.921]
21;21098.386;530.172;3622.907;58.438;231.913;1751.308;3660.0;0.0;15194.0;33147.002;5668.14;-6380.476;15.95;18;128;[1.467, 2.376, 1.0, 2.038, 1.0];[1.18, 1.162, 2.729]
22;21098.386;530.172;3622.907;58.438;231.913;1751.308;3660.0;0.0;15194.0;33147.002;5668.14;-6380.476;19.634;18;128;[1.467, 2.376, 1.2, 2.038, 1.0];[1.18, 1.162, 2.756]
23;21098.386;530.172;3622.907;58.438;231.913;1751.308;3660.0;0.0;15194.0;33147.002;5668.14;-6380.476;9.682;18;128;[1.467, 2.238, 1.2, 2.038, 1.0];[1.18, 1.162, 2.58]
